id;name;origin;season;color;weight;stock_quantity;price
1;quixotic;FRANCE;31325;ORANGE;15970.39;15040;10101.19
2;furiously unhappy;ESPAGNE;32435;BLUE;651.62;22470;18318.29
3;communicate limply median;ITALIE;13593;WHITE;493;8277;28425.2
4;given untried;ESPAGNE;4967;PINK;3473.36;31401;20547.75
5;what;ESPAGNE;16795;ORANGE;8082.25;9659;1937.96
6;millet defensive stealthily;ESPAGNE;10740;BROWN;31009.41;21132;6491.13
7;deplore which;FRANCE;18532;YELLOW;19640.27;54;8631.61
8;pertinent coast coolly;FRANCE;8610;BLACK;13364.98;8376;2053.67
9;that;ESPAGNE;5858;PURPLE;22503.46;14059;9109.34
10;atomize officially;ITALIE;13726;WHITE;12527.45;13923;22224.17
